code,floor,tradingDate,time,tradingDate_Time,open,high,low,last,adLast,accumulatedVal,accumulatedVol,lastVol
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.38609E+11,17822200,100
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.38612E+11,17822300,100
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.38913E+11,17832300,10000
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.38916E+11,17832400,100
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.38946E+11,17833400,1000
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.38958E+11,17833800,400
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.38974E+11,17834300,500
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.3898E+11,17834500,200
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.38983E+11,17834600,100
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.38995E+11,17835000,400
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39025E+11,17836000,1000
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39028E+11,17836100,100
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39034E+11,17836300,200
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39185E+11,17841300,5000
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.392E+11,17841800,500
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39206E+11,17842000,200
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39236E+11,17843000,1000
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39272E+11,17844200,1200
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39284E+11,17844600,400
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39299E+11,17845100,200
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39302E+11,17845200,100
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39305E+11,17845300,100
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39323E+11,17845900,100
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.3939E+11,17848100,700
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39459E+11,17850400,100
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39586E+11,17854600,2200
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39293E+11,17844900,300
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39311E+11,17845500,200
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39314E+11,17845600,100
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39317E+11,17845700,100
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.3932E+11,17845800,100
TCB,HOSE,23/05/2025,14:45:00,23/05/2025 14:45,30.55,30.6,29.8,30.15,30.15,5.39338E+11,17846400,500
